2021-02-04 19:59:56.933148|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3347185561": No such file or directory
2021-02-04 20:18:54.844101|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1404323408": No such file or directory
2021-02-04 20:18:54.846000|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2379257560": No such file or directory
2021-02-04 20:18:54.848060|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3889272611": No such file or directory
2021-02-04 20:18:54.850136|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2166181182": No such file or directory
2021-02-04 20:18:54.852088|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_6126838": No such file or directory
2021-02-04 20:18:54.947046|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3205332715": No such file or directory
2021-02-04 20:18:54.949045|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_157620106": No such file or directory
2021-02-04 20:18:54.951987|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3746480419": No such file or directory
2021-02-04 20:39:38.023876|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2766998993": No such file or directory
2021-02-04 20:39:38.025723|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2513547458": No such file or directory
2021-02-04 20:39:38.027711|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3347185561": No such file or directory
2021-02-04 20:39:45.555912|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1404323408": No such file or directory
2021-02-04 20:39:45.557706|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2379257560": No such file or directory
2021-02-04 20:39:45.558619|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3889272611": No such file or directory
2021-02-04 20:39:45.560691|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2166181182": No such file or directory
2021-02-04 20:39:45.561678|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_6126838": No such file or directory
2021-02-04 20:39:45.694597|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3205332715": No such file or directory
2021-02-04 20:39:45.696630|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_157620106": No such file or directory
2021-02-04 20:39:45.698535|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3746480419": No such file or directory
2021-02-04 22:13:22.918259|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3347185561": No such file or directory
2021-02-04 22:13:23.064889|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2766998993": No such file or directory
2021-02-04 22:13:23.066482|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2513547458": No such file or directory
2021-02-05 10:40:37.265493|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2766998993": No such file or directory
2021-02-05 10:40:37.358645|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3347185561": No such file or directory
2021-02-05 10:40:37.401530|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2513547458": No such file or directory
2021-02-05 12:49:54.878591|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2021-02-05 13:00:50.531624|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1404323408": No such file or directory
2021-02-05 13:00:50.533331|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2379257560": No such file or directory
2021-02-05 13:00:50.536381|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3889272611": No such file or directory
2021-02-05 13:00:50.537425|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2166181182": No such file or directory
2021-02-05 13:00:50.539445|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_6126838": No such file or directory
2021-02-05 13:00:50.625406|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3205332715": No such file or directory
2021-02-05 13:00:50.627356|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_157620106": No such file or directory
2021-02-05 13:00:50.629433|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3746480419": No such file or directory
2021-02-05 13:11:17.094179|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2766998993": No such file or directory
2021-02-05 13:11:17.306127|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2513547458": No such file or directory
2021-02-05 13:11:17.308052|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3347185561": No such file or directory
2021-02-05 13:21:28.984442|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1404323408": No such file or directory
2021-02-05 13:21:28.986346|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2379257560": No such file or directory
2021-02-05 13:21:28.988298|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3889272611": No such file or directory
2021-02-05 13:21:28.989287|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2166181182": No such file or directory
2021-02-05 13:21:28.991283|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_6126838": No such file or directory
2021-02-05 13:21:29.098433|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3205332715": No such file or directory
2021-02-05 13:21:29.100292|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_157620106": No such file or directory
2021-02-05 13:21:29.101302|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3746480419": No such file or directory
